1,比黑人碳头牙刷好用?,碳头;,好用;,1;
2,比之前坏的要好些，亮一些。,NULL;,坏;,-1;
3,质量很好 用着很舒服 感觉有点小贵啊,质量;NULL;有点;,很好;舒服;小贵;,1;1;-1;
4,发货速度很快，东西收到后基本上和描述的没什么差别，质量还行，比较实用，就是感觉有点渣脚，上面的硬塑料设计不够光滑希望厂家能够改进。,NULL;质量;NULL;有点;NULL;塑料;,很快;还行;实用;渣;硬;光滑;,1;1;1;-1;-1;1;
5,1、每星期至少两次掉线，一天重启几次也正常；2、5G已坏。,NULL;NULL;,正常;坏;,1;-1;
6,从中学一直在用的，质量好,质量;,好;,1;
7,此产品太差劲了，没有任何内包装，直接放在盒子里就过来了。铅笔也是打开过多次，已经很久了的样子。必须差评！,产品;NULL;NULL;,差劲;久;差评;,-1;0;-1;
8,色粉笔也太贵了吧，而且包装也有些旧了，后悔买啊，早知到上实品店买,粉笔;NULL;NULL;,太贵;旧;后悔;,-1;-1;-1;
9,买了跟老公一人一个，用下来还不错，比较静音，充满电能用半个月。,NULL;NULL;,不错;静音;,1;1;
10,亚马逊自营的东西是正品，一贯都不错，东西好坏是产品本身的事情。,东西;NULL;,正品;不错;,1;1;
11,气味清香，洗衣洁净。,NULL;NULL;,清香;洁净;,1;1;
12,中间有几页排版有问题 有的字看不到,NULL;,看不到;,-1;
13,方便，可挂脖上，当项链了。,NULL;,方便;,1;
14,产品挺软，不过孩子更喜欢自己手指头。一星是因为快递很差劲，老公让快递员联系我送到家，结果联系我还是让自己去大门口取，我依然因为在家看孩子走不开。快递员自己签收这个事，很过分。,NULL;星;NULL;,喜欢;差劲;过分;,1;-1;-1;
15,4g移动卡，插进去居然没任何反应，不建议购买,建议;,卡;,-1;
16,袜子质量很不错，很满意，这个价格很值。,质量;NULL;,不错;满意;,1;1;
17,建议看原版 难怪在欧洲销量排行第一的书在中国卖不好. 首先书名翻译的就有问题。第一人称是Lou。Lou要Will好好的？ 我想译者是说Will要Lou 好好的吧。 但通篇都是Lou的视角，你书名让WIll说合适么？Me before you是Lou表示她再遇到Will前的生活与之后的生活的差别。,NULL;书名;,不好;合适;,-1;1;
18,考试内容为0 最新题库 里面没有 一道题没有,,,
19,rt，搞个驱动太麻烦，烦死,NULL;NULL;,麻烦;烦死;,-1;-1;
20,卖了6瓶，没有一瓶不漏的，都是盖子裂开。,NULL;NULL;,不漏;裂开;,1;-1;
21,1。现在一直还在用。。,,,
22,发过来的是老包装，但是与在商场买的效果不一样，之前一直用的挺好的，包装不一样效果也不一样吗？,NULL;,挺好;,1;
23,1. 收到货以后内部包装盒上的防伪标签是破损的； 2. 口罩本身有刺鼻的塑料气味； 3. 口罩呼吸阀上的3M商标字样可以轻易擦掉； 4. 戴上口罩后仍然能明确的闻到外界的粉尘和其他气味；,NULL;NULL;,刺鼻;可以;,-1;1;
24,用了一周，主要当无线路由（静态ip）用的，工作时间连台式机和手机。1天9个小时，平均2天观察到掉线一次，基本稳定，也不热。比较奇怪的是，192.168.1.253时不时的访问困难。 切换工作模式的开关很实用。,基本;NULL;NULL;,稳定;困难;实用;,1;-1;1;
25,好东西，绝对物有所值！拿回来三天到四天就可以装茶叶了，一点异味都没有！,NULL;NULL;NULL;,好;物有所值;可以;,1;1;1;
26,速度没有广告的那么大，实际测量应该是38,,,
27,我买的亚马逊直营，但是送来的外包装上是北京四海致祥国际商贸，看不懂。,NULL;,看不懂;,-1;
28,买了后，发现公司不能热饭了，就一直没用过，不知道是否漏水,,,
29,很好用，是正品，后悔只买了一组，唇膏比较润颜色也好看，睫毛膏是属于纤长型没有苍蝇腿,腿;NULL;NULL;NULL;NULL;,很好;正品;后悔;好看;型;,1;1;-1;1;1;
30,iFrogz 爱蛙 音效很不错，价格很实惠。,音效;NULL;,不错;实惠;,1;1;
31,性价比高，速度很快，用在老机器400D上，相当不错。,性价比;NULL;NULL;,高;很快;不错;,1;1;1;
32,味道闻起来有些怪，和我曾经在宠物店里买的不大一样。狗狗也不爱吃,,,
33,还没使用，不过相信狮王的应该会不错,狮王;,不错;,1;
34,非常柔软，后来用苏菲感觉出来这个真是柔软，苏菲真是硬啊,苏菲;感觉;苏菲;,柔软;柔软;硬;,1;1;-1;
35,第一次自己装路由器，按照说明书一步步操作弄了一个小时弄好。信号还不错，就是有时候明明看着信号满格但连不上网不知道为什么，暂时还没发现什么大问题。发货慢了点，但送货很快，刚好赶在预计送达日期送到了。,小时;信号;发货;NULL;NULL;,好;不错;慢;很快;刚好;,1;1;-1;1;1;
36,慎重购买，没有你想象那么好。,NULL;想象;,慎重;好;,-1;1;
37,音质还不错，不好的是色彩反搭配不是很好,音质;NULL;色彩;,不错;不好;很好;,1;-1;1;
38,包装很可爱 香味甜甜的 滋润还是差了点点,NULL;NULL;NULL;滋润;,可爱;甜甜的;滋润;差;,1;0;1;-1;
39,没有味道，没有毛刺，宝宝两岁半，超喜欢，已经能自己搭出不少东西了,NULL;NULL;,喜欢;不少;,1;1;
40,没有想象中的好，还真是一分钱一分货,想象;,好;,1;
41,4岁半女宝，大小合适。粉红色甜美可爱。还送了一个枚红色小挎包，女儿很喜欢。,NULL;NULL;NULL;,合适;可爱;喜欢;,1;1;1;
42,颜色不是白色 像旧物发黄一样 还没试用 希望能弥补下缺憾,NULL;NULL;,发黄;缺憾;,-1;-1;
43,包装简陋，液体流出，味道难闻！…而且物流根本没有按照要求时间送,时间;味道;,简陋;难闻;,-1;-1;
44,买的是16G的内存卡，货到了后，打开用电脑看，只有14G。卓越，别拿消费者信任当玩笑。,NULL;消费者;,卓越;信任;,1;1;
45,之前购买几次此款狗粮，挺满意。宠物进口好货259-100 活动一次定下3袋结果让人很触目惊心，打开一袋里面很多小虫，已经成功退货。,NULL;宠物;NULL;,满意;好;很多;,1;1;1;
46,不错的书，朋友推荐的，我买来送好友的生日礼物,好友;NULL;,不错;推荐;,1;1;
47,大品牌，质量值得信赖。,NULL;质量;,值得;信赖;,1;1;
48,谁买谁后悔一辈子。这样的味道让人无法接受，根本不能说好，太恶心直接丢掉。小瓶子是塑料包装想想谁会这么弄油到处流。不要买啦。我第一次这么评价，真心让店家好好在石林地区卖吧。,NULL;NULL;,后悔;恶心;,-1;-1;
49,质量一般般，密封不了,NULL;,一般般;,0;
50,这支笔太适合我了， 好画不晕染， 非常黑， 我更喜欢棕色的,NULL;NULL;NULL;,适合;好;喜欢;,1;1;1;
51,也没有什么纸盒子，就一图片上的塑料袋，里面装着6只，有个合格证~,,,
52,不错，光柔和不刺眼，质量很好很上档次。,NULL;光;NULL;质量;NULL;,不错;柔和;刺眼;很好;上档次;,1;1;-1;1;1;
53,不滋润，涂了依旧很干，不好,NULL;NULL;NULL;,滋润;干;不好;,1;-1;-1;
54,难得海外购，价格还行，不是很适合炼字，笔尖有点细，换墨水囊要小心，别怼坏了。,NULL;价格;NULL;NULL;,难得;还行;适合;坏;,0;1;1;-1;
55,第一次在这买东西，还是说下感受。首先，快递速度值得赞。包裹还是很完整。但是一打开拿出东西看到就有点失望了。盒子盖子被撕开了一半，包装太烂了。难道真的是国货的原因?,NULL;NULL;NULL;NULL;NULL;,值得;赞;完整;失望;太烂;,1;1;1;-1;1;
56,恩………………其实当初还有有那么点失望…………但是总的来说还算不错…………书质量很好，内容删减了丁点,NULL;NULL;质量;,失望;不错;很好;,-1;1;1;
57,就是塑料的 用的时候不敢使劲啊,,,
58,睡一晚上位置就会变，有固定的带子也没用。,,,
59,梳子用着很好，就是寄过来表面有些划痕,梳子;,很好;,1;
60,与原来想象的有一定差距1有点小了2保温不如玻璃胆。,,,
61,故事情节，过份简单。,过份;,简单;,1;
62,反正我不喜欢。。。。,NULL;,喜欢;,1;
63,有小失望，还不如以前有的胡萝卜水光胶呢？,NULL;,失望;,-1;
64,很一般，基本没看出什么效果,效果;,一般;,0;
65,来得商品与商家提供的图片明显不符，真是浪费时间，浪费心情，买的的时候要注意！,图片;NULL;NULL;NULL;,明显;不符;浪费时间;浪费;,0;-1;-1;-1;
66,我收到的只有7ml装的，特别小,,,
67,大舌音练不会买啥口袋书都是白瞎啊！,,,
68,看起来和以前的一样，还没有使用。,,,
69,书页像受潮了一样，皱皱巴巴的，还有明显磨损的痕迹，joyo现在选书怎么越来越不注意质量了！！,NULL;NULL;,受潮;明显;,-1;0;
70,垃圾，垃圾中的战斗机,战斗机;NULL;,垃圾;垃圾;,-1;-1;
71,139的价钱和商场3，300价钱买的质量差不多，挺好的东西。,NULL;NULL;,差不多;好;,0;1;
72,很不错，只是没有袖~~~,NULL;,不错;,1;
73,还可以，就是和之前买的不太一样，包装好像换新的了,NULL;,可以;,1;
74,材质不是特别硬，也不是特别软，比较舒服，用一段再继续评论,材质;NULL;,硬;舒服;,-1;1;
75,就喜欢日货，不服不行。,NULL;NULL;,喜欢;不行;,1;-1;
76,这个价格波动也没谁了，买了就降价！在官网买到都有附赠小样套装，这个完全没有。而且物流不是一般慢，擦完之后皮肤还变暗沉了。好后悔购买，价格比官网贵，还一天一个价，你至少有点效果啊，最后效果有了是皮肤暗沉了超级油了,物流;物流;NULL;NULL;NULL;官网;NULL;,一般;慢;沉;好;后悔;贵;暗沉;,0;-1;-1;1;-1;-1;-1;
77,价格不便宜，主要是里面有生锈的痕迹，直接退了,价格;,便宜;,1;
78,发热不均匀不说，用几个小时后，里面的粉末全垮到下面了，我上网查了一下正品和假货的比较方法，假货的每一条都符合，大家都别买这个！比如包装袋、内包装的四角设计等等，亏死我了，不知道怎么处理这个了,NULL;NULL;正品;NULL;NULL;NULL;,均匀;正品;假货;假货;符合;亏死;,1;1;-1;-1;1;-1;
79,内容过于简单，小孩不感兴趣。,NULL;内容;,过于;简单;,-1;1;
80,东西不错，杯口略有瑕疵。这个价位不应该。,东西;杯口;,不错;瑕疵;,1;-1;
81,东西不错，安装有点麻烦,东西;NULL;,不错;麻烦;,1;-1;
82,其实里面的图片很好看不是么？有谁知道那些图片的出处？,NULL;,好看;,1;
83,震动的挺厉害的，但不厉害就没什么效果了， 用了，很舒服，,NULL;NULL;NULL;,厉害;厉害;舒服;,1;1;1;
84,送货很快，狗粮有防伪。只是快递走后，才发现装狗粮的大盒子很软，像受了潮一样。侧面破了一个很大的口子，把手连胳膊伸进去都很容易。有不舒服。幸好，同时送来的防晒产品在里面。,NULL;NULL;NULL;胳膊;NULL;,很快;破;很大;容易;舒服;,1;-1;1;1;1;
85,439元买的，价格实惠，就是快递员态度嚣张，影响心情,NULL;态度;,实惠;嚣张;,1;-1;
86,真的挺好用，包装什么的都很正规，质地轻盈，滋润不油腻，无味，用的很好。,NULL;NULL;滋润;NULL;NULL;,正规;滋润;油腻;无味;很好;,1;1;-1;-1;1;
87,充一次电能持续很短时间，而且按键不好用，声音键没有反应，其他键设计的很2，整个机身，抓哪里都会有反应，没法拿,NULL;,不好;,-1;
88,卓越，听朋友说过很多次，快又正。可惜，我运气不好，第一次定购尼玛老不发货。难道你的服务器在国外，老外不给你数据，那只能说你中方的也太窝囊了。。。东西还没收到，不做评价。看了很多评论，只想告诉那些选择黑冰系列的朋友，可以说留下指纹是黑冰的一个特点，别去纠结，擦擦更健康。呵呵。,NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;,卓越;快;可惜;不好;很多;可以;纠结;健康;,1;1;-1;-1;1;1;-1;1;
89,亚马逊太不注重隐私了，就用个半透明的塑料袋包装送货，一看就知道买的套套，让别人看了多尴尬，让小女子情何以堪,,,
90,我家狗狗不会玩，狗狗没兴趣,,,
91,可以，带加热，处了有些疼以外都不错。五星。,NULL;NULL;处;NULL;,可以;疼;不错;五星;,1;-1;1;1;
92,不错，牙齿真的变白了~ 粉状，闻起来就是牙膏的味道 要坚持用，才是最重要的 但是用完洁牙粉，我会再用牙膏刷一遍，怕洁牙粉没有防蛀的作用 牙膏刷完，嘴巴香香的；洁牙粉刷好，没味道的 洁牙粉不能刷得太长，不然嘴巴里面的肉肉有瑟瑟的感觉 可能刚开始用不习惯，用了一阵子，就没了 不错，我喜欢~,NULL;NULL;洁牙;粉;NULL;NULL;,不错;香香的;好;太长;不错;喜欢;,1;1;1;-1;1;1;
93,很不错的抽油烟机，因为家里的旧机器要换，这个尺寸宽度刚好合适，价格也不贵，服务超级好，21日下单，25日到货，顺丰的小伙子帮忙送到了4楼，当天预约安装，第二天一早售后就打电话来说上门安装，中午已经可以用上新的了，超级开心的一次购物，家里的煤气灶也是樱花的，喜欢，樱花值得信赖！,NULL;NULL;NULL;宽度;价格;NULL;NULL;NULL;NULL;NULL;NULL;樱花;,不错;旧;刚好;合适;不贵;好;可以;新;开心;喜欢;值得;信赖;,1;-1;1;1;1;1;1;1;1;1;1;1;
94,备份、共享收据，很好用。边充电边使用,NULL;,很好;,1;
95,大小很合适，但是衣服超级长，我一米八穿M号这衣服都能遮住屁股了，不过再买小一号上身就太紧了，好尴尬。不过洗了几次之后明显缩水，但还是有点大的。,NULL;衣服;NULL;NULL;,合适;长;好;明显;,1;1;1;0;
96,有点香味，用起来还不错的,NULL;,不错;,1;
97,厚实，不掉毛，吸水性强。强烈推荐。,NULL;吸水性;,厚实;强;,1;1;
98,主机和子机的天线都得拨到最高才行，否则噪音大得没法用。基本上别指望有什么移动性了。 另外子机经常取不到线。,NULL;NULL;,行;没法用;,1;-1;
99,狗狗嘴叼不怎么喜欢 我闻着挺香的,NULL;NULL;,喜欢;香;,1;1;
100,狗狗从小就吃宝路，而且只喜欢鸡肉味的，现在8岁了必须改吃大龄犬狗粮，先混合着鸡肉味的成犬粮过渡一下，比起超市便宜了一点，关键是很方便。,NULL;NULL;关键;,喜欢;便宜;方便;,1;1;1;
101,内容比较简单，排版字体很大，间距很宽，不值那个价钱,字体;NULL;,很大;不值;,1;-1;
102,入门级应该还是可以的，价钱也不贵,NULL;价钱;,可以;不贵;,1;1;
103,老妈和老婆用了后都说很假，第一、洗完头发味道很臭；第二、洗完头皮很痒；第三、同家乐福、欧尚、人人乐等超市里买的不一样,老婆;味道;头皮;,假;臭;很痒;,-1;-1;-1;
104,直接麻醉，导致无法勃起,,,
105,虽然和想象的不一样，但用起来还好,NULL;,还好;,1;
106,一般吧，音乐种类比较杂，只能随便听听。,NULL;NULL;,一般;随便;,0;-1;
107,用了一年才来评价，看上去很大气，但椅垫部分用久了弹性不够，坐在上面可以感觉到椅垫骨架；升降高度有限，腿放不直；整体向右倾斜。买家具还是得实地体验才行！,NULL;部分;NULL;高度;NULL;,很大;久;可以;有限;行;,1;0;1;-1;1;
108,包装很好，圆枕的设计用料做工都不错，秒杀价比较合适，建议印一本小册子，教人如何使用就更好了。,NULL;用料;NULL;NULL;,很好;不错;合适;更好;,1;1;1;1;
109,全五星.刚开始看评论担心发错号.结果一个也没发错.断了一个笔头不影响.非常不错.天猫总是断货.便宜11块钱吧.但是发货慢.还是选亚马逊吧,NULL;NULL;NULL;断货;发货;,五星;发错;不错;便宜;慢;,1;-1;1;1;-1;
110,活动买的。因为今年梅雨季历时太长，家里居然长了霉斑。用了这个有些效果，但味道大，特别是向上或斜上喷射会被呛到。其他有朋友使用最好做一下相关防护，渗入皮肤或呼吸吸入对人体都是不利的。,历时;NULL;朋友;人体;,太长;长;最好;不利;,-1;1;1;-1;
111,都结块了，也不知道是不是因为天气的缘故，希望以后避免此类情况发生。,,,
112,一个保温杯，漏水，还有什么价值，拿掉盖子的档位和出水的档位没问题，关闭出水的时候，怎么拧都漏水，号称运动款只能办公室当茶杯了,,,
113,商品挺好日本寄过来的 中国制造 那个郁闷 好的产品为什么一定要出口转内销呢,商品;NULL;NULL;,好;郁闷;好;,1;-1;1;
114,拿到手没有塑封，开盖发现里面没有封口，扫码之类的防伪也没有，没法辨认真假。 另外如果买贵了，是没有价格保护的，而且不支持退货，这一点很不好。,NULL;NULL;,贵;不好;,-1;-1;
115,主要是考虑塑料杯子不好消毒，所以选择不锈钢，里边不锈钢内胆可以拿出来，单独消毒。质量很好，做工很棒，孩子很喜欢。,NULL;NULL;质量;NULL;NULL;,不好;可以;很好;很棒;喜欢;,-1;1;1;1;1;
116,5分怕你太骄傲，应该再炒老一点，很多没裂开，咬得我牙疼……盐么刚刚好，不过是不是再多放一点点？,NULL;NULL;盐;,很多;裂开;好;,1;-1;1;
117,什么玩意跟图片不符，图片看着挺肥的到了一看我穿都瘦，老人穿更穿不了了，一点都不舒服,NULL;NULL;,不符;舒服;,-1;1;
118,还没试过，不过外形还可以,NULL;,可以;,1;
119,过滤棉漏碳，这点太要命了，这还能是饮用水么？而且还不少，洗了也没用，一甩全是黑水……过滤网已拆，不知道水泵能撑多久，但愿别过两天就坏了。,NULL;NULL;NULL;,要命;不少;坏;,-1;1;-1;
120,买了好几罐了，我家孕猫很是喜欢，每天犯奶瘾等着我喂，不错不错,NULL;NULL;NULL;,喜欢;不错;不错;,1;1;1;
121,包装非常好，一点没有破损。相框质量也很好！,NULL;质量;,好;很好;,1;1;
122,内容很多，泛泛而谈，没有深度，又一本神马书。,NULL;,很多;,1;
123,纱布材质不错，刚生育后用来束腹，后来做成尿布，吸水尚可，宝宝没有红屁股之类的,材质;NULL;,不错;尚可;,1;1;
124,不过作为辞书，印刷和纸质都只能凑合吧，n次贴稍微标记一下就。。。还好没有连根拔起。。。书在北京还好好的，带回香港虽然放在室内，就受潮弯成方便面了！ 但作为罗热的脑残粉，还是觉得很满意。mass market版的，够意思了，不强求，只力荐。,NULL;NULL;NULL;NULL;,凑合;还好;受潮;满意;,0;1;-1;1;
125,价格小贵了些，不过还是很好玩的，作为入门级了解乐高。飞机搭出来还挺是样子的,价格;NULL;NULL;,小贵;好玩;高;,-1;1;1;
126,喜欢 味道不错 哈哈 下来还来,NULL;味道;,喜欢;不错;,1;1;
127,线有点短，其他还可以,有点;NULL;,短;可以;,-1;1;
128,四星，收到鞋子，感觉挺不错。就是看到别的买家都有小吊坠，我收到鞋子并没有……很纳闷,NULL;,纳闷;,-1;
129,还没用，等用了在补评吧,,,
130,作为一名中国人，为了更好地做好对外汉语教学的相关工作，我把里面的几套题做了一遍，最大的感受是，答案没有解析，很难讲解。总体来讲，物流超快，亚马逊的书是用箱子的，书保护得很好。,NULL;NULL;书;,更好;超快;很好;,1;1;1;
131,79元的价位，缺点也是有的，70CM稍微有点矮，不过写字，玩电脑刚好拉大距离保护眼睛。米黄木纹的桌面，很清新美观！桌子稍微有点晃动。总之，很客观的说，小桌绝对物超所值！很方便很适用。值得拥有！,有点;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;,矮;刚好;清新;美观;晃动;物超所值;方便;适用;值得;,-1;1;1;1;-1;1;1;1;1;
132,没有外包装，买了两盒，两盒都不一样，用了一片感觉还可以,NULL;,可以;,1;
133,整体质量好，细节差一点,质量;,好;,1;
134,不错的电池，放在无线设备里面，经久耐用,NULL;NULL;,不错;经久耐用;,1;1;
135,不要买单曾的帐篷，里面会下气汗水珠，好像下雨，非常严重。没有办法使用，早晨会发现外面是干的帐篷里好像下了雨，用了就知道，真的不能用，我现在的感受。唯一优点是帐篷里没有异味，这点算是优点。,NULL;NULL;,严重;干;,-1;-1;
136,膏体很细腻，但是味道没有很清新，也没有美白的作用,NULL;味道;,细腻;清新;,1;1;
137,东西看着还不错，就是相纸太贵，所以还没舍得用,东西;NULL;,不错;太贵;,1;-1;
138,外观有磨损，音质不好，2个月一个键坏了,NULL;键;,不好;坏;,-1;-1;
139,狗屁全峰，两天留言联系不上我，就完全没联系我，到第三天下午才到我手上，不知道亚马逊怎么选择的合作伙伴？ 今天终于组装上了，又发现一个问题，装箱的是不是不带眼睛的，最细的管子发多一根，立着的中粗管子又少发一根，，东西质量嘛还行，不想退了，但谁来换给我一根立着的中粗的管子给我，谁来换给我/???,NULL;质量;,狗屁;还行;,-1;1;
140,产品没有与时俱进。口味过咸，豆皮难分离，豆肉太硬。,豆肉;,硬;,-1;
141,拍了一个星期才到，到了瓶底还是凸起来的,,,
142,一份价钱一分货呀，用了不到三天那个白色旋转滤水器就松掉了，托把头也没有棉线编织那种的好，总体感觉好失望,编织;感觉;NULL;,好;好;失望;,1;1;-1;
143,越南产 尺码准备 做工尚可。,NULL;,尚可;,1;
144,刚刚学习德语的同学可以选择这份资料，由浅入深，很清晰，教学也表较好，老师很有水平。有发音要点，有背景知识！顶一下！,NULL;NULL;表;,可以;清晰;好;,1;1;1;
145,之前没有在网上购买过化妆品，货到付款，第二天早上就收到，服务很好 产品还在使用，使用效果觉得一般般,NULL;NULL;,很好;一般般;,1;0;
146,宝贝女儿说，跟图片不太一样,,,
147,个人买了两次这个鞋子，第一次送过来那双鞋子内侧严重脱胶，然后又买了一次这次这个鞋子买了以后前段时间没有穿，今天刚穿上走了一会回来看到鞋子侧面开胶了。花了800多买的，这质量也太让我怀疑了。所以要求退货。,鞋子;鞋子;,严重;开胶;,-1;-1;
148,物流挺给力的，速度快，就是服务态度有待提高。东西很不错，刚开始还有点担心，用了半个月效果很不错！,东西;效果;,不错;不错;,1;1;
149,故事情节简单，不太吸引人。,故事情节;,简单;,1;
150,枕头确实不是慢回弹的，与宣传严重不符，跟以前购买过的一款慢回弹的枕头比起来差距比较明显。另外，味道很大，在阳台通风处晾了一天，仍然有味道。,枕头;NULL;NULL;NULL;差距;味道;,慢;严重;不符;慢;明显;很大;,-1;-1;-1;-1;0;1;
151,做工还算过得去，感觉比铝合金的要结实，但比较沉，老年人使用不太适合，怕搬不动。,NULL;铝合金;NULL;NULL;,过得去;结实;沉;适合;,0;1;-1;1;
152,300元亚马逊香港直邮，因为看了网上评论很日常才买的，本人皮子算白的，唇色比较淡，和圣罗兰方管的13和52号相比，17号说实话效果一般，无功无过！最爱还是52号，真的很粉！而13号很靓，17号就好普通，无惊艳！,唇色;效果;NULL;NULL;NULL;,淡;一般;好;普通;惊艳;,-1;0;1;0;1;
153,被子很轻软，保暖性也很好，非常满意。,保暖性;NULL;,很好;满意;,1;1;
154,来的当天就使用了。洗完后脸很光滑。。至于洗没洗干净嘛。。感觉跟10几块的差不多。。没有泡沫型的洗的干净。。但是3大瓶真的很实惠了。。。。,脸;NULL;NULL;NULL;泡沫;NULL;,光滑;干净;差不多;型;干净;实惠;,1;1;0;1;1;1;
155,无论是手感、质感都比较次，在接收器的两侧，还有没有处理干净的水口！塑料质量也不好！ 鼠标模式下，中间的四维方向键时而失灵，纯粹看重他能够切换到Keynote模式才买的！很失望！ 此外，还是指纹收集器，没有收纳袋！感觉如果表面能够处理成为磨砂的才更有质感！,NULL;NULL;方向键;NULL;NULL;NULL;,干净;不好;失灵;纯粹;看重;失望;,1;-1;-1;1;1;-1;
156,几篇报告的集合，论题分散，且并不深入，不推荐。,NULL;,推荐;,1;
157,不知道是不是正品，底不平，放在平桌上会晃动。字体洗刷了十来次就脱了。比美亚海淘的吸奶器带的4个小瓶差,小瓶;NULL;NULL;小瓶;,正品;不平;晃动;差;,1;-1;-1;-1;
158,清洁效果很好，用完很舒服。给父母也买了一套。,NULL;NULL;,很好;舒服;,1;1;
159,书标题吸引了我 但内容一般,内容;,一般;,0;
160,好，就是有些纸未切断，拉出来有牵连。,NULL;,好;,1;
161,味道不错，只是线香有粗细,味道;,不错;,1;
162,业余爱好者，看了黄仁宇的《万历十五年》《中国大历史》，看了汤因比的《历史研究》，又看了这本《枪炮、病菌与钢铁》，个人感觉，这本书对我的触动最大。 黄的《万历十五年》文笔相当的好，历史知识丰富，但看他其他的作品，觉得在历史研究上的功力有限，还处于散兵游勇的阶段，到科学研究、自成体系尚早。 汤因比的《历史研究》，好是好，总觉得观点上有些偏激，似乎文明的发展不过是挑战与应战的循环。 而这本《枪炮、病菌与钢铁》，则从完全不同的方面阐述了环境在影响人类历史进程中的巨大作用，给人耳目一新、恍然大悟的感觉，绝对值得一看。 惜知道这本书的人太少，酒香也怕巷子深啊！,NULL;文笔;历史;功力;NULL;NULL;NULL;,业余;好;丰富;有限;好;好;值得一看;,-1;1;1;-1;1;1;1;
163,猫咪对夹心以外的东西不太感兴趣，希望能加以改进才好。,NULL;,好;,1;
164,我的两个牌子的DVD都不容易读，卡有马赛克现象，步步高读盘能力也很强的，压制的盘编码有问题。,牌子;能力;,容易;很强;,1;1;
165,还行吧，不是太满意，做工一般,NULL;NULL;NULL;,还行;满意;一般;,1;1;0;
166,包装很单薄，收到货发现角边有缺品，很不满意,NULL;NULL;,单薄;满意;,-1;1;
167,枕芯摸起来还不错，也 挺软，但是感觉弹性不是很好。 这个价格也还可以了,枕芯;弹性;NULL;,不错;很好;可以;,1;1;1;
168,这款稍微有点粘灰，不过价格便宜，随便穿穿完全ok,NULL;NULL;,随便;ok;,-1;1;
169,包装不对，是老包装，和图片不符，不过有提示，使用中，有点感觉不靠谱。,NULL;,不符;,-1;
170,如题。无线功能不好调，有线方面，是一只比较中规中矩的猫~,NULL;NULL;,不好;中规中矩;,-1;0;
171,挺好，真的很舒服很补水~,NULL;NULL;,好;舒服;,1;1;
172,现在在用，需要坚持才能看到效果吧,,,
173,产品质量很好，价格也非常公道。很愉快的一次购物体验 不过敏,产品质量;价格;NULL;NULL;,很好;公道;愉快;过敏;,1;1;1;-1;
174,手感很一般，而且放不下毛爷爷，钱包特别的小，买的时候要谨慎,手感;时候;,一般;谨慎;,0;0;
175,款式可以，方便，购买回来使用的比较少，在入手后一周就出现不论您按哪个号码，按的号码都是3，而且发出怪音，出现了几次也不当回事，最近越来越频繁，我都只能用手机，可怜我有1000分钟的座机通话时间，估计没戏了！你们这边没货，请安排退款给我，我每天都要用座机，只能重新别家购买一个普通的了。杯具啊，亲,NULL;NULL;NULL;NULL;NULL;,可以;方便;频繁;可怜;普通;,1;1;-1;-1;0;
176,这本书讲的不切合实际,,,
